id, opt1, opt2, response, time, threshold
1,b,d,f,1.396,1/10
1,c,d,f,2.917,1/10
1,c,b,j,4.182,1/10
1,b,a,j,6.183,1/10
1,d,c,j,8.124,1/10
1,a,c,f,9.376,1/10
1,c,a,j,10.651,1/10
1,a,d,f,11.956,1/10
1,d,b,j,13.28,1/10
1,d,a,j,14.491,1/10
1,b,c,f,16.012,1/10
1,a,b,f,17.517,1/10
1,a,e,f,19.608,1/10
1,e,b,j,21.715,1/10
1,e,c,f,23.854,1/10
1,d,e,f,25.851,1/10
1,f,d,f,27.877,1/10
1,a,f,f,29.882,1/10
1,f,c,f,32.041,1/10
1,f,b,j,34.161,1/10
1,f,g,f,37.156,1/10
1,h,i,f,40.051,1/10
1,j,k,f,42.946,1/10
1,l,m,j,45.941,1/10
2,b,d,f,1.349,1/10
2,c,d,f,3.129,1/10
2,c,b,j,4.647,1/10
2,b,a,j,6.224,1/10
2,d,c,j,8.728,1/10
2,a,c,f,10.009,1/10
2,c,a,j,11.66,1/10
2,a,d,f,13.016,1/10
2,d,b,j,14.378,1/10
2,d,a,j,15.685,1/10
2,b,c,f,17.018,1/10
2,a,b,f,18.744,1/10
2,a,e,f,20.856,1/10
2,e,b,j,22.954,1/10
2,e,c,f,25.122,1/10
2,d,e,f,27.136,1/10
2,f,d,f,29.17,1/10
2,a,f,f,31.179,1/10
2,f,c,f,33.265,1/10
2,f,b,j,35.485,1/10
2,f,g,j,38.38,1/10
2,h,i,f,41.375,1/10
2,j,k,f,44.27,1/10
2,l,m,j,47.265,1/10
3,b,d,f,1.361,1/10
3,c,d,f,3.52,1/10
3,c,b,j,4.76,1/10
3,b,a,j,6.81,1/10
3,d,c,j,8.492,1/10
3,a,c,f,9.746,1/10
3,c,a,j,11.001,1/10
3,a,d,f,12.298,1/10
3,d,b,j,13.609,1/10
3,d,a,j,14.713,1/10
3,b,c,f,16.077,1/10
3,a,b,f,17.698,1/10
3,a,e,f,19.757,1/10
3,e,b,j,21.896,1/10
3,e,c,f,24.104,1/10
3,d,e,f,26.152,1/10
3,f,d,f,28.529,1/10
3,a,f,f,30.544,1/10
3,f,c,f,32.573,1/10
3,f,b,j,34.731,1/10
3,f,g,f,37.726,1/10
3,h,i,f,40.621,1/10
3,j,k,f,43.516,1/10
3,l,m,f,46.411,1/10
4,b,d,f,1.56,1/10
4,c,d,f,3.161,1/10
4,c,b,j,4.487,1/10
4,b,a,j,6.245,1/10
4,d,c,j,7.845,1/10
4,a,c,f,9.078,1/10
4,c,a,j,10.482,1/10
4,a,d,f,11.968,1/10
4,d,b,j,13.19,1/10
4,d,a,j,14.565,1/10
4,b,c,f,15.98,1/10
4,a,b,f,17.927,1/10
4,a,e,f,19.945,1/10
4,e,b,j,22.091,1/10
4,e,c,f,24.264,1/10
4,d,e,f,26.301,1/10
4,f,d,f,28.357,1/10
4,a,f,f,30.395,1/10
4,f,c,f,32.44,1/10
4,f,b,j,34.551,1/10
4,f,g,j,37.446,1/10
4,h,i,f,40.441,1/10
4,j,k,j,43.436,1/10
4,l,m,f,46.431,1/10
5,b,d,f,1.36,1/10
5,c,d,NIL,3.341,1/10
5,c,b,NIL,3.426,1/10
5,b,a,NIL,3.511,1/10
5,d,c,NIL,3.596,1/10
5,a,c,NIL,3.596,1/10
5,c,a,NIL,3.681,1/10
5,a,d,NIL,3.766,1/10
5,d,b,NIL,3.851,1/10
5,d,a,NIL,3.936,1/10
5,b,c,NIL,4.021,1/10
5,a,b,NIL,4.106,1/10
5,a,e,NIL,4.191,1/10
5,e,b,NIL,4.276,1/10
5,e,c,NIL,4.361,1/10
5,d,e,NIL,4.446,1/10
5,f,d,NIL,4.531,1/10
5,a,f,NIL,4.616,1/10
5,f,c,NIL,4.701,1/10
5,f,b,NIL,4.786,1/10
5,f,g,NIL,4.871,1/10
5,h,i,NIL,4.956,1/10
5,j,k,NIL,5.041,1/10
5,l,m,NIL,5.126,1/10
6,b,d,f,1.276,1/10
6,c,d,f,3.025,1/10
6,c,b,j,4.405,1/10
6,b,a,j,5.963,1/10
6,d,c,j,7.474,1/10
6,a,c,f,8.935,1/10
6,c,a,j,10.228,1/10
6,a,d,f,11.508,1/10
6,d,b,j,12.938,1/10
6,d,a,j,14.107,1/10
6,b,c,f,15.516,1/10
6,a,b,f,17.186,1/10
6,a,e,f,19.29,1/10
6,e,b,j,21.462,1/10
6,e,c,f,23.617,1/10
6,d,e,f,25.626,1/10
6,f,d,f,27.695,1/10
6,a,f,f,29.717,1/10
6,f,c,f,31.723,1/10
6,f,b,j,33.833,1/10
6,f,g,j,36.728,1/10
6,h,i,f,39.723,1/10
6,j,k,f,42.618,1/10
6,l,m,f,45.513,1/10
7,b,d,f,1.315,1/10
7,c,d,f,2.996,1/10
7,c,b,j,4.24,1/10
7,b,a,j,5.769,1/10
7,d,c,j,7.411,1/10
7,a,c,f,8.998,1/10
7,c,a,j,10.334,1/10
7,a,d,f,11.636,1/10
7,d,b,j,12.923,1/10
7,d,a,j,14.114,1/10
7,b,c,f,15.472,1/10
7,a,b,f,17.218,1/10
7,a,e,f,19.284,1/10
7,e,b,j,21.463,1/10
7,e,c,f,23.576,1/10
7,d,e,f,25.601,1/10
7,f,d,f,27.65,1/10
7,a,f,f,29.653,1/10
7,f,c,f,31.695,1/10
7,f,b,j,33.811,1/10
7,f,g,j,36.706,1/10
7,h,i,j,39.601,1/10
7,j,k,j,42.496,1/10
7,l,m,j,45.391,1/10
8,b,d,f,1.289,1/10
8,c,d,f,3.112,1/10
8,c,b,j,4.452,1/10
8,b,a,j,6.005,1/10
8,d,c,j,7.748,1/10
8,a,c,f,9.104,1/10
8,c,a,j,10.417,1/10
8,a,d,f,11.747,1/10
8,d,b,j,12.973,1/10
8,d,a,j,14.158,1/10
8,b,c,f,15.465,1/10
8,a,b,f,17.317,1/10
8,a,e,f,19.352,1/10
8,e,b,j,21.483,1/10
8,e,c,f,23.621,1/10
8,d,e,f,25.62,1/10
8,f,d,f,27.667,1/10
8,a,f,f,29.697,1/10
8,f,c,j,32.692,1/10
8,f,b,j,34.694,1/10
8,f,g,j,37.589,1/10
8,h,i,j,40.484,1/10
8,j,k,f,43.479,1/10
8,l,m,j,46.474,1/10
9,b,d,f,1.358,1/10
9,c,d,f,2.863,1/10
9,c,b,j,4.105,1/10
9,b,a,j,5.961,1/10
9,d,c,j,7.723,1/10
9,a,c,f,9.034,1/10
9,c,a,j,10.538,1/10
9,a,d,f,12.085,1/10
9,d,b,j,13.411,1/10
9,d,a,j,14.583,1/10
9,b,c,f,15.907,1/10
9,a,b,f,17.538,1/10
9,a,e,f,19.593,1/10
9,e,b,j,21.718,1/10
9,e,c,f,23.911,1/10
9,d,e,f,25.947,1/10
9,f,d,f,28.002,1/10
9,a,f,f,30.088,1/10
9,f,c,f,32.144,1/10
9,f,b,j,34.286,1/10
9,f,g,j,37.181,1/10
9,h,i,j,40.076,1/10
9,j,k,j,42.971,1/10
9,l,m,f,45.966,1/10
10,b,d,f,1.339,1/10
10,c,d,f,2.974,1/10
10,c,b,j,4.385,1/10
10,b,a,j,5.977,1/10
10,d,c,j,7.558,1/10
10,a,c,f,9.021,1/10
10,c,a,j,10.349,1/10
10,a,d,f,11.627,1/10
10,d,b,j,12.939,1/10
10,d,a,j,14.099,1/10
10,b,c,f,15.629,1/10
10,a,b,f,17.254,1/10
10,a,e,f,19.347,1/10
10,e,b,j,21.492,1/10
10,e,c,f,23.622,1/10
10,d,e,f,25.621,1/10
10,f,d,f,27.618,1/10
10,a,f,f,29.69,1/10
10,f,c,f,31.705,1/10
10,f,b,j,33.86,1/10
10,f,g,f,36.855,1/10
10,h,i,j,39.85,1/10
10,j,k,j,42.745,1/10
10,l,m,f,45.74,1/10
11,b,d,f,1.426,1/10
11,c,d,f,3.692,1/10
11,c,b,j,4.988,1/10
11,b,a,j,6.557,1/10
11,d,c,j,8.326,1/10
11,a,c,f,9.847,1/10
11,c,a,j,11.131,1/10
11,a,d,f,12.484,1/10
11,d,b,j,13.853,1/10
11,d,a,j,15.054,1/10
11,b,c,f,16.3,1/10
11,a,b,f,17.898,1/10
11,a,e,f,19.96,1/10
11,e,b,j,22.078,1/10
11,e,c,f,24.196,1/10
11,d,e,f,26.192,1/10
11,f,d,f,28.199,1/10
11,a,f,f,30.218,1/10
11,f,c,f,32.285,1/10
11,f,b,j,34.421,1/10
11,f,g,j,37.316,1/10
11,h,i,f,40.311,1/10
11,j,k,j,43.306,1/10
11,l,m,j,46.201,1/10
12,b,d,f,1.617,1/10
12,c,d,f,3.335,1/10
12,c,b,j,4.661,1/10
12,b,a,j,6.537,1/10
12,d,c,j,8.248,1/10
12,a,c,f,9.538,1/10
12,c,a,j,10.769,1/10
12,a,d,f,12.022,1/10
12,d,b,j,13.261,1/10
12,d,a,j,14.411,1/10
12,b,c,f,15.643,1/10
12,a,b,f,17.122,1/10
12,a,e,f,19.127,1/10
12,e,b,j,21.244,1/10
12,e,c,f,23.403,1/10
12,d,e,f,25.461,1/10
12,f,d,f,27.494,1/10
12,a,f,f,29.524,1/10
12,f,c,f,31.571,1/10
12,f,b,j,33.688,1/10
12,f,g,f,36.683,1/10
12,h,i,j,39.678,1/10
12,j,k,f,42.673,1/10
12,l,m,f,45.568,1/10
13,b,d,f,2.18,1/10
13,c,d,f,3.841,1/10
13,c,b,j,5.428,1/10
13,b,a,j,7.3,1/10
13,d,c,j,9.072,1/10
13,a,c,f,10.434,1/10
13,c,a,j,11.673,1/10
13,a,d,f,12.93,1/10
13,d,b,j,14.217,1/10
13,d,a,j,15.44,1/10
13,b,c,f,16.701,1/10
13,a,b,f,18.308,1/10
13,a,e,f,20.341,1/10
13,e,b,j,22.571,1/10
13,e,c,f,24.711,1/10
13,d,e,f,26.719,1/10
13,f,d,f,28.731,1/10
13,a,f,f,30.742,1/10
13,f,c,f,32.762,1/10
13,f,b,j,34.91,1/10
13,f,g,j,37.805,1/10
13,h,i,f,40.8,1/10
13,j,k,j,43.795,1/10
13,l,m,f,46.79,1/10
14,b,d,f,1.406,1/10
14,c,d,f,3.346,1/10
14,c,b,j,4.661,1/10
14,b,a,j,6.257,1/10
14,d,c,j,7.859,1/10
14,a,c,f,9.245,1/10
14,c,a,j,10.533,1/10
14,a,d,f,11.847,1/10
14,d,b,j,13.152,1/10
14,d,a,j,14.387,1/10
14,b,c,f,15.641,1/10
14,a,b,f,17.554,1/10
14,a,e,f,19.578,1/10
14,e,b,j,21.672,1/10
14,e,c,f,23.92,1/10
14,d,e,f,25.995,1/10
14,f,d,f,28.063,1/10
14,a,f,f,30.191,1/10
14,f,c,f,32.187,1/10
14,f,b,j,34.297,1/10
14,f,g,j,37.192,1/10
14,h,i,f,40.187,1/10
14,j,k,f,43.082,1/10
14,l,m,f,45.977,1/10
15,b,d,f,2.186,1/10
15,c,d,f,3.824,1/10
15,c,b,j,5.12,1/10
15,b,a,j,7.03,1/10
15,d,c,j,9.152,1/10
15,a,c,f,10.402,1/10
15,c,a,j,11.714,1/10
15,a,d,f,13.105,1/10
15,d,b,j,14.42,1/10
15,d,a,j,15.583,1/10
15,b,c,f,16.929,1/10
15,a,b,f,18.608,1/10
15,a,e,f,20.697,1/10
15,e,b,j,22.812,1/10
15,e,c,f,24.948,1/10
15,d,e,f,26.955,1/10
15,f,d,f,29.082,1/10
15,a,f,f,31.093,1/10
15,f,c,f,33.097,1/10
15,f,b,j,35.22,1/10
15,f,g,f,38.215,1/10
15,h,i,j,41.21,1/10
15,j,k,f,44.205,1/10
15,l,m,j,47.2,1/10
16,b,d,f,1.49,1/10
16,c,d,f,3.11,1/10
16,c,b,j,4.367,1/10
16,b,a,j,6.187,1/10
16,d,c,j,7.846,1/10
16,a,c,f,9.129,1/10
16,c,a,j,10.412,1/10
16,a,d,f,11.802,1/10
16,d,b,j,13.09,1/10
16,d,a,j,14.343,1/10
16,b,c,f,15.58,1/10
16,a,b,f,17.084,1/10
16,a,e,f,19.109,1/10
16,e,b,j,21.36,1/10
16,e,c,f,23.516,1/10
16,d,e,f,25.539,1/10
16,f,d,f,27.538,1/10
16,a,f,f,29.594,1/10
16,f,c,f,31.609,1/10
16,f,b,j,33.715,1/10
16,f,g,j,36.61,1/10
16,h,i,f,39.605,1/10
16,j,k,f,42.5,1/10
16,l,m,f,45.395,1/10
17,b,d,f,1.313,1/10
17,c,d,f,2.925,1/10
17,c,b,j,4.141,1/10
17,b,a,j,5.69,1/10
17,d,c,j,7.465,1/10
17,a,c,f,8.802,1/10
17,c,a,j,11.042,1/10
17,a,d,f,12.306,1/10
17,d,b,j,13.579,1/10
17,d,a,j,14.707,1/10
17,b,c,f,15.924,1/10
17,a,b,f,17.448,1/10
17,a,e,f,19.504,1/10
17,e,b,j,21.619,1/10
17,e,c,f,23.987,1/10
17,d,e,f,26.15,1/10
17,f,d,f,28.475,1/10
17,a,f,f,30.533,1/10
17,f,c,f,32.566,1/10
17,f,b,j,34.669,1/10
17,f,g,j,37.564,1/10
17,h,i,f,40.559,1/10
17,j,k,j,43.554,1/10
17,l,m,f,46.549,1/10
18,b,d,f,1.302,1/10
18,c,d,f,3.622,1/10
18,c,b,j,4.904,1/10
18,b,a,j,6.376,1/10
18,d,c,j,8.328,1/10
18,a,c,f,9.61,1/10
18,c,a,j,10.93,1/10
18,a,d,f,12.161,1/10
18,d,b,j,13.463,1/10
18,d,a,j,14.827,1/10
18,b,c,f,16.25,1/10
18,a,b,f,17.788,1/10
18,a,e,f,19.861,1/10
18,e,b,j,22.108,1/10
18,e,c,f,24.228,1/10
18,d,e,f,26.481,1/10
18,f,d,f,28.546,1/10
18,a,f,f,30.595,1/10
18,f,c,f,32.731,1/10
18,f,b,j,34.865,1/10
18,f,g,j,37.76,1/10
18,h,i,j,40.655,1/10
18,j,k,j,43.55,1/10
18,l,m,f,46.545,1/10
19,b,d,f,1.268,1/10
19,c,d,f,2.71,1/10
19,c,b,j,4.177,1/10
19,b,a,j,5.835,1/10
19,d,c,j,7.403,1/10
19,a,c,f,9.322,1/10
19,c,a,j,10.651,1/10
19,a,d,f,12.002,1/10
19,d,b,j,13.425,1/10
19,d,a,j,14.652,1/10
19,b,c,f,16.048,1/10
19,a,b,f,17.603,1/10
19,a,e,f,19.638,1/10
19,e,b,j,21.829,1/10
19,e,c,f,24.183,1/10
19,d,e,f,26.196,1/10
19,f,d,f,28.246,1/10
19,a,f,f,30.249,1/10
19,f,c,f,32.268,1/10
19,f,b,j,34.447,1/10
19,f,g,j,37.342,1/10
19,h,i,j,40.237,1/10
19,j,k,j,43.132,1/10
19,l,m,f,46.127,1/10
20,b,d,f,1.343,1/10
20,c,d,f,2.863,1/10
20,c,b,j,4.081,1/10
20,b,a,j,5.958,1/10
20,d,c,j,8.169,1/10
20,a,c,f,9.42,1/10
20,c,a,j,10.742,1/10
20,a,d,f,12.0,1/10
20,d,b,j,13.355,1/10
20,d,a,j,14.477,1/10
20,b,c,f,15.839,1/10
20,a,b,f,17.604,1/10
20,a,e,f,19.63,1/10
20,e,b,j,21.841,1/10
20,e,c,f,23.988,1/10
20,d,e,f,26.027,1/10
20,f,d,f,28.067,1/10
20,a,f,f,30.172,1/10
20,f,c,f,32.268,1/10
20,f,b,j,34.38,1/10
20,f,g,f,37.375,1/10
20,h,i,j,40.37,1/10
20,j,k,f,43.365,1/10
20,l,m,j,46.36,1/10
21,b,d,f,1.364,1/10
21,c,d,NIL,3.364,1/10
21,c,b,NIL,3.449,1/10
21,b,a,NIL,3.534,1/10
21,d,c,NIL,3.619,1/10
21,a,c,NIL,3.619,1/10
21,c,a,NIL,3.704,1/10
21,a,d,NIL,3.789,1/10
21,d,b,NIL,3.874,1/10
21,d,a,NIL,3.959,1/10
21,b,c,NIL,4.044,1/10
21,a,b,NIL,4.129,1/10
21,a,e,NIL,4.214,1/10
21,e,b,NIL,4.299,1/10
21,e,c,NIL,4.384,1/10
21,d,e,NIL,4.469,1/10
21,f,d,NIL,4.554,1/10
21,a,f,NIL,4.639,1/10
21,f,c,NIL,4.724,1/10
21,f,b,NIL,4.809,1/10
21,f,g,NIL,4.894,1/10
21,h,i,NIL,4.979,1/10
21,j,k,NIL,5.064,1/10
21,l,m,NIL,5.149,1/10
22,b,d,f,1.53,1/10
22,c,d,f,3.207,1/10
22,c,b,j,4.451,1/10
22,b,a,j,5.883,1/10
22,d,c,j,7.717,1/10
22,a,c,f,8.976,1/10
22,c,a,j,10.391,1/10
22,a,d,f,11.959,1/10
22,d,b,j,13.382,1/10
22,d,a,j,14.55,1/10
22,b,c,f,16.041,1/10
22,a,b,f,17.804,1/10
22,a,e,f,19.963,1/10
22,e,b,j,22.158,1/10
22,e,c,f,24.534,1/10
22,d,e,f,26.585,1/10
22,f,d,f,28.651,1/10
22,a,f,f,30.686,1/10
22,f,c,f,32.702,1/10
22,f,b,j,34.796,1/10
22,f,g,f,37.791,1/10
22,h,i,f,40.686,1/10
22,j,k,f,43.581,1/10
22,l,m,j,46.576,1/10
23,b,d,f,1.342,1/10
23,c,d,f,3.084,1/10
23,c,b,j,4.301,1/10
23,b,a,j,5.825,1/10
23,d,c,j,7.426,1/10
23,a,c,f,8.911,1/10
23,c,a,j,10.287,1/10
23,a,d,f,11.563,1/10
23,d,b,j,12.859,1/10
23,d,a,j,13.998,1/10
23,b,c,f,15.255,1/10
23,a,b,NIL,17.19,1/10
23,a,e,NIL,17.275,1/10
23,e,b,NIL,17.36,1/10
23,e,c,NIL,17.445,1/10
23,d,e,NIL,17.53,1/10
23,f,d,NIL,17.615,1/10
23,a,f,NIL,17.7,1/10
23,f,c,NIL,17.785,1/10
23,f,b,NIL,17.87,1/10
23,f,g,NIL,17.955,1/10
23,h,i,NIL,18.04,1/10
23,j,k,NIL,18.125,1/10
23,l,m,NIL,18.21,1/10
24,b,d,f,1.466,1/10
24,c,d,f,3.044,1/10
24,c,b,j,4.444,1/10
24,b,a,j,6.181,1/10
24,d,c,j,8.143,1/10
24,a,c,f,9.366,1/10
24,c,a,j,10.684,1/10
24,a,d,f,11.93,1/10
24,d,b,j,13.315,1/10
24,d,a,j,14.464,1/10
24,b,c,f,15.714,1/10
24,a,b,f,17.462,1/10
24,a,e,f,19.48,1/10
24,e,b,j,21.634,1/10
24,e,c,f,23.822,1/10
24,d,e,f,25.836,1/10
24,f,d,f,27.871,1/10
24,a,f,f,29.99,1/10
24,f,c,f,32.066,1/10
24,f,b,j,34.199,1/10
24,f,g,f,37.194,1/10
24,h,i,f,40.089,1/10
24,j,k,j,43.084,1/10
24,l,m,j,45.979,1/10
25,b,d,f,1.87,1/10
25,c,d,f,3.53,1/10
25,c,b,j,4.892,1/10
25,b,a,j,6.867,1/10
25,d,c,j,8.598,1/10
25,a,c,f,9.999,1/10
25,c,a,j,11.217,1/10
25,a,d,f,12.481,1/10
25,d,b,j,13.761,1/10
25,d,a,j,14.937,1/10
25,b,c,f,16.188,1/10
25,a,b,f,17.845,1/10
25,a,e,f,19.902,1/10
25,e,b,j,22.076,1/10
25,e,c,f,24.229,1/10
25,d,e,f,26.262,1/10
25,f,d,f,28.383,1/10
25,a,f,f,30.431,1/10
25,f,c,f,32.449,1/10
25,f,b,j,34.563,1/10
25,f,g,j,37.458,1/10
25,h,i,f,40.453,1/10
25,j,k,f,43.348,1/10
25,l,m,f,46.243,1/10
26,b,d,f,1.459,1/10
26,c,d,f,3.25,1/10
26,c,b,j,4.475,1/10
26,b,a,j,6.037,1/10
26,d,c,j,7.499,1/10
26,a,c,f,8.796,1/10
26,c,a,j,10.115,1/10
26,a,d,f,11.409,1/10
26,d,b,j,12.69,1/10
26,d,a,j,13.962,1/10
26,b,c,f,15.286,1/10
26,a,b,f,17.274,1/10
26,a,e,f,19.292,1/10
26,e,b,j,21.403,1/10
26,e,c,f,23.537,1/10
26,d,e,f,25.59,1/10
26,f,d,f,27.639,1/10
26,a,f,f,29.642,1/10
26,f,c,f,31.698,1/10
26,f,b,j,33.812,1/10
26,f,g,j,36.707,1/10
26,h,i,f,39.702,1/10
26,j,k,f,42.597,1/10
26,l,m,f,45.492,1/10
27,b,d,f,1.316,1/10
27,c,d,f,2.751,1/10
27,c,b,j,4.005,1/10
27,b,a,j,5.948,1/10
27,d,c,j,7.753,1/10
27,a,c,f,9.054,1/10
27,c,a,j,10.333,1/10
27,a,d,f,11.625,1/10
27,d,b,j,12.945,1/10
27,d,a,j,14.226,1/10
27,b,c,f,15.56,1/10
27,a,b,f,17.108,1/10
27,a,e,f,19.112,1/10
27,e,b,j,21.24,1/10
27,e,c,f,23.386,1/10
27,d,e,f,25.405,1/10
27,f,d,f,27.432,1/10
27,a,f,f,29.481,1/10
27,f,c,f,31.523,1/10
27,f,b,j,33.784,1/10
27,f,g,j,36.679,1/10
27,h,i,f,39.674,1/10
27,j,k,j,42.669,1/10
27,l,m,j,45.564,1/10
28,b,d,f,2.015,1/10
28,c,d,f,3.726,1/10
28,c,b,j,4.942,1/10
28,b,a,j,6.558,1/10
28,d,c,j,8.155,1/10
28,a,c,f,9.441,1/10
28,c,a,j,10.728,1/10
28,a,d,f,12.023,1/10
28,d,b,j,13.25,1/10
28,d,a,j,14.517,1/10
28,b,c,f,15.761,1/10
28,a,b,f,17.266,1/10
28,a,e,f,19.279,1/10
28,e,b,j,21.466,1/10
28,e,c,f,23.702,1/10
28,d,e,f,25.765,1/10
28,f,d,f,27.808,1/10
28,a,f,f,29.837,1/10
28,f,c,f,31.864,1/10
28,f,b,j,33.966,1/10
28,f,g,j,36.861,1/10
28,h,i,j,39.756,1/10
28,j,k,f,42.751,1/10
28,l,m,f,45.646,1/10
29,b,d,f,1.385,1/10
29,c,d,f,3.265,1/10
29,c,b,j,4.595,1/10
29,b,a,j,6.968,1/10
29,d,c,j,8.685,1/10
29,a,c,f,9.925,1/10
29,c,a,j,11.875,1/10
29,a,d,f,13.197,1/10
29,d,b,j,14.406,1/10
29,d,a,j,15.667,1/10
29,b,c,f,16.893,1/10
29,a,b,f,18.479,1/10
29,a,e,f,20.69,1/10
29,e,b,j,22.813,1/10
29,e,c,f,24.919,1/10
29,d,e,f,26.957,1/10
29,f,d,f,29.049,1/10
29,a,f,f,31.047,1/10
29,f,c,f,33.046,1/10
29,f,b,j,35.233,1/10
29,f,g,f,38.228,1/10
29,h,i,f,41.123,1/10
29,j,k,j,44.118,1/10
29,l,m,f,47.113,1/10
30,b,d,f,1.417,1/10
30,c,d,f,3.206,1/10
30,c,b,j,4.508,1/10
30,b,a,j,6.034,1/10
30,d,c,j,7.839,1/10
30,a,c,f,9.093,1/10
30,c,a,j,10.331,1/10
30,a,d,f,11.644,1/10
30,d,b,j,12.919,1/10
30,d,a,j,14.112,1/10
30,b,c,f,15.389,1/10
30,a,b,f,17.054,1/10
30,a,e,f,19.091,1/10
30,e,b,j,21.284,1/10
30,e,c,f,23.48,1/10
30,d,e,f,25.565,1/10
30,f,d,f,27.638,1/10
30,a,f,f,29.649,1/10
30,f,c,f,31.683,1/10
30,f,b,j,33.868,1/10
30,f,g,j,36.763,1/10
30,h,i,j,39.658,1/10
30,j,k,f,42.653,1/10
30,l,m,j,45.648,1/10
31,b,d,f,2.031,1/10
31,c,d,f,3.822,1/10
31,c,b,j,5.29,1/10
31,b,a,j,7.13,1/10
31,d,c,j,8.925,1/10
31,a,c,f,10.219,1/10
31,c,a,j,11.575,1/10
31,a,d,f,12.8,1/10
31,d,b,j,14.059,1/10
31,d,a,j,15.292,1/10
31,b,c,f,16.553,1/10
31,a,b,f,18.107,1/10
31,a,e,f,20.141,1/10
31,e,b,j,22.263,1/10
31,e,c,f,24.424,1/10
31,d,e,f,26.444,1/10
31,f,d,f,28.526,1/10
31,a,f,f,30.536,1/10
31,f,c,f,32.546,1/10
31,f,b,j,34.714,1/10
31,f,g,j,37.609,1/10
31,h,i,j,40.504,1/10
31,j,k,f,43.499,1/10
31,l,m,j,46.494,1/10
32,b,d,f,1.371,1/10
32,c,d,f,2.921,1/10
32,c,b,j,4.206,1/10
32,b,a,j,5.932,1/10
32,d,c,j,7.631,1/10
32,a,c,f,8.919,1/10
32,c,a,j,10.313,1/10
32,a,d,f,11.842,1/10
32,d,b,j,13.1,1/10
32,d,a,j,14.409,1/10
32,b,c,f,15.637,1/10
32,a,b,f,17.18,1/10
32,a,e,f,19.227,1/10
32,e,b,j,21.486,1/10
32,e,c,f,23.635,1/10
32,d,e,f,25.653,1/10
32,f,d,f,27.747,1/10
32,a,f,f,29.9,1/10
32,f,c,f,32.017,1/10
32,f,b,j,34.152,1/10
32,f,g,j,37.047,1/10
32,h,i,f,40.042,1/10
32,j,k,f,42.937,1/10
32,l,m,f,45.832,1/10
33,b,d,f,1.605,1/10
33,c,d,f,3.151,1/10
33,c,b,j,4.471,1/10
33,b,a,j,5.992,1/10
33,d,c,j,7.666,1/10
33,a,c,f,9.12,1/10
33,c,a,j,10.71,1/10
33,a,d,f,11.99,1/10
33,d,b,j,13.221,1/10
33,d,a,j,14.417,1/10
33,b,c,f,15.705,1/10
33,a,b,f,17.287,1/10
33,a,e,f,19.322,1/10
33,e,b,j,21.493,1/10
33,e,c,f,23.727,1/10
33,d,e,f,25.735,1/10
33,f,d,f,28.058,1/10
33,a,f,f,30.09,1/10
33,f,c,f,32.116,1/10
33,f,b,j,34.255,1/10
33,f,g,j,37.15,1/10
33,h,i,j,40.045,1/10
33,j,k,f,43.04,1/10
33,l,m,j,46.035,1/10
34,b,d,f,1.648,1/10
34,c,d,f,3.201,1/10
34,c,b,j,4.483,1/10
34,b,a,j,6.052,1/10
34,d,c,j,8.124,1/10
34,a,c,f,9.435,1/10
34,c,a,j,10.705,1/10
34,a,d,f,12.065,1/10
34,d,b,j,13.328,1/10
34,d,a,j,14.586,1/10
34,b,c,f,15.999,1/10
34,a,b,f,18.203,1/10
34,a,e,f,20.266,1/10
34,e,b,j,22.407,1/10
34,e,c,f,24.535,1/10
34,d,e,f,26.581,1/10
34,f,d,f,28.584,1/10
34,a,f,f,30.607,1/10
34,f,c,f,32.617,1/10
34,f,b,j,34.731,1/10
34,f,g,f,37.726,1/10
34,h,i,j,40.721,1/10
34,j,k,f,43.716,1/10
34,l,m,f,46.611,1/10
35,b,d,f,1.334,1/10
35,c,d,f,3.257,1/10
35,c,b,j,4.558,1/10
35,b,a,j,6.24,1/10
35,d,c,j,8.019,1/10
35,a,c,f,9.337,1/10
35,c,a,j,10.587,1/10
35,a,d,f,11.846,1/10
35,d,b,j,13.157,1/10
35,d,a,j,14.281,1/10
35,b,c,f,15.699,1/10
35,a,b,f,17.643,1/10
35,a,e,f,19.652,1/10
35,e,b,j,21.868,1/10
35,e,c,f,24.004,1/10
35,d,e,f,26.036,1/10
35,f,d,f,28.076,1/10
35,a,f,f,30.093,1/10
35,f,c,f,32.117,1/10
35,f,b,j,34.254,1/10
35,f,g,j,37.149,1/10
35,h,i,f,40.144,1/10
35,j,k,j,43.139,1/10
35,l,m,j,46.034,1/10
36,b,d,f,1.322,1/10
36,c,d,f,2.862,1/10
36,c,b,j,4.186,1/10
36,b,a,j,5.83,1/10
36,d,c,j,7.334,1/10
36,a,c,f,8.697,1/10
36,c,a,j,9.937,1/10
36,a,d,f,11.293,1/10
36,d,b,j,12.541,1/10
36,d,a,j,13.662,1/10
36,b,c,f,15.298,1/10
36,a,b,f,17.32,1/10
36,a,e,f,19.318,1/10
36,e,b,j,21.44,1/10
36,e,c,f,23.535,1/10
36,d,e,f,25.622,1/10
36,f,d,f,27.823,1/10
36,a,f,f,29.836,1/10
36,f,c,f,31.888,1/10
36,f,b,j,34.055,1/10
36,f,g,f,37.05,1/10
36,h,i,j,40.045,1/10
36,j,k,j,42.94,1/10
36,l,m,f,45.935,1/10
37,b,d,f,1.324,1/10
37,c,d,f,3.398,1/10
